amazon_record_id,product_id,product_name,main_category,sub_category,rating_num,rating_count_num,discount_percentage_num,estimated_revenue_proxy,review_length_chars,vader_compound_score,vader_sentiment_label,lda_topic_id,lda_topic_label,lda_topic_probability
669,B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,Accessories&Peripherals,4.3,30411.0,23,6964119.0,758,0.9334,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9901118407358741
670,B079Y6JZC8,"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",Computers&Accessories,Accessories&Peripherals,3.8,3044.0,54,423116.0,610,0.9734,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9853828637854656
671,B0856HNMR7,"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0, with Mic (Buoyant Black)",Electronics,"Headphones,Earbuds&Accessories",4.0,33584.0,52,40267216.0,555,0.9204,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.7749571018661814
672,B0B12K5BPM,"ZEBRONICS Zeb-Astra 20 Wireless BT v5.0 Portable Speaker with 10W RMS Output, TWS, 10H Backup Approx, Built in Rechargeable Battery FM Radio, AUX, mSD, USB, Call Function and Dual 52mm Drivers Multi",Electronics,HomeAudio,3.9,1779.0,54,1866171.0,996,0.9686,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.710456959014654
673,B08MTCKDYN,"Gizga Essentials Spiral Cable Protector Cord Saver for Mac Charger, iPhone Charger, Wire Protector, Lightweight Durable Flexible Wire Winder for Charging Cables, Data Cables, Earphones, Pack of 10",Electronics,Mobiles&Accessories,4.1,5999.0,60,713881.0,548,0.8625,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9716808291598032
674,B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories,Accessories&Peripherals,4.3,13391.0,55,2062214.0,876,0.9236,positive,3,"Topic 3: Charging, Cables & Connectivity",0.98875073671712
675,B00LVMTA2A,Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5,Electronics,GeneralPurposeBatteries&BatteryChargers,4.4,26556.0,10,5975100.0,261,0.8591,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.4502056196295313
676,B07TR5HSR9,MemeHo® Smart Standard Multi-Purpose Laptop Table with Dock Stand/Study Table/Bed Table/Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs/Engineered Wood with Cup Holder (Black),Computers&Accessories,Accessories&Peripherals,4.3,25903.0,56,16992368.0,1405,0.9926,positive,1,"Topic 1: Value, Usability & Everyday Products",0.9907445084127282
677,B0819ZZK5K,"SanDisk Ultra Dual Drive Go USB Type C Pendrive for Mobile (Black, 128 GB, 5Y - SDDDC3-128G-I35)",Computers&Accessories,ExternalDevices&DataStorage,4.3,53464.0,60,59291576.0,3275,0.9959,positive,3,"Topic 3: Charging, Cables & Connectivity",0.5125034623444091
678,B096VF5YYF,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Pitch Black)",Electronics,WearableTechnology,4.1,48448.0,62,145295552.0,11925,0.9997,positive,2,"Topic 2: Smart Devices, Wearables & Audio",0.9990368898904053
